System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
OPT-IML (175B),Language,Language modelling,"Srinivasan Iyer, Xi Victoria Lin, Ramakanth Pasunuru, Todor Mihaylov, Daniel Simig, Ping Yu, Kurt Shuster, Tianlu Wang, Qing Liu, Punit Singh Koura, Xian Li, Brian O'Horo, Gabriel Pereyra, Jeff Wang, Christopher Dewan, Asli Celikyilmaz, Luke Zettlemoyer, Ves Stoyanov",,,Permissive license,https://arxiv.org/abs/2212.12017,140.00,OPT-IML: Scaling Language Model Instruction Meta Learning through the Lens of Generalization,2022-12-22,Meta AI,Industry,175000000000.00,,,fine-tuned from OPT-175B with an estimate 2.1e21 FLOP for fine-tuning,OPT-IML Bench,"(fine-tuning dataset) ""To this end, we create OPT-IML Bench: a large benchmark for Instruction MetaLearning (IML) of 2000 NLP tasks consolidated into task categories from 8 existing benchmarks""",,,,,,,,NVIDIA A100,NVIDIA A100,,,,,Likely,"Recent work has shown that fine-tuning large pre-trained language models on a collection of tasks described via instructions, a.k.a. instruction-tuning, improves their zero and few-shot generalization to unseen tasks. However, there is a limited understanding of the performance trade-offs of different decisions made during the instruction-tuning process. These decisions include the scale and diversity of the instruction-tuning benchmark, different task sampling strategies, fine-tuning with and without demonstrations, training using specialized datasets for reasoning and dialogue, and finally, the fine-tuning objectives themselves. In this paper, we characterize the effect of instruction-tuning decisions on downstream task performance when scaling both model and benchmark sizes. To this end, we create OPT-IML Bench: a large benchmark for Instruction Meta-Learning (IML) of 2000 NLP tasks consolidated into task categories from 8 existing benchmarks, and prepare an evaluation framework to measure three types of model generalizations: to tasks from fully held-out categories, to held-out tasks from seen categories, and to held-out instances from seen tasks. Through the lens of this framework, we first present insights about instruction-tuning decisions as applied to OPT-30B and further exploit these insights to train OPT-IML 30B and 175B, which are instruction-tuned versions of OPT. OPT-IML demonstrates all three generalization abilities at both scales on four different evaluation benchmarks with diverse tasks and input formats -- PromptSource, FLAN, Super-NaturalInstructions, and UnifiedSKG. Not only does it significantly outperform OPT on all benchmarks but is also highly competitive with existing models fine-tuned on each specific benchmark. We release OPT-IML at both scales, together with the OPT-IML Bench evaluation framework.",2023-12-05 04:33,Anonymous,,0,Multinational,Meta AI,OPT-175B,2,"""We fine-tune all 30B models on 64 40GB A100s, and 175B models on 128 40GB A100s"", no timeframe specified

fine-tuned on 2B tokens. 2B * 175B * 6 = 2.1e21

",,,,
Hybrid H3-2.7B,Language,,"Daniel Y. Fu, Tri Dao, Khaled K. Saab, Armin W. Thomas, Atri Rudra, Christopher Ré",SOTA Improvement,Results table shows SOTA performance for some benchmarks,,https://arxiv.org/abs/2212.14052,52.00,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,2022-12-28,"Stanford University,University at Buffalo",,2700000000.00,,849000000000000000000.00,,,,,,509.02,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,Hybrid H3-2.7B,0,"United States of America,United States of America","Stanford University, University at Buffalo",,,,Hybrid H3-2.7B,,,
Hybrid H3-125M,Language,,,,,,https://arxiv.org/abs/2212.14052,52.00,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,2022-12-28,,,,,,,,,,,509.02,,,,,,,,,,,Unverified,,2023-12-05 04:33,Robi Rahman,Hybrid H3-125M,1,,,,,,,,,
Hybrid H3-355M,Language,,,,,,https://arxiv.org/abs/2212.14052,52.00,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,2022-12-28,,,,,,,,,,,509.02,,,,,,,,,,,Unverified,,2023-12-05 04:33,Robi Rahman,Hybrid H3-355M,1,,,,,,,,,
Hybrid H3-1.3B,Language,,,,,,https://arxiv.org/abs/2212.14052,52.00,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,2022-12-28,,,,,,,,,,,509.02,,,,,,,,,,,Unverified,,2023-12-05 04:33,Robi Rahman,Hybrid H3-1.3B,1,,,,,,,,,
SparseOPT-175B,Language,,"Elias Frantar, Dan Alistarh",,,,https://arxiv.org/abs/2301.00774,91.00,SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot,2023-01-02,,,87500000000.00,,1.58e+23,,,,,,1.67,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,SparseOPT-175B,,,,,,,,,,
SparseOPT-66B,Language,,,,,,,,,2023-01-02,,,,,,,,,,,1.67,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,SparseOPT-66B,1,,,,,,,,,
SparseOPT-13B,Language,,,,,,,,,2023-01-02,,,,,,,,,,,1.67,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,SparseOPT-13B,1,,,,,,,,,
SparseOPT-30B,Language,,,,,,,,,2023-01-02,,,,,,,,,,,1.67,,,,,,,,,,,Unverified,,2023-12-08 01:01,Robi Rahman,SparseOPT-30B,1,,,,,,,,,
SantaCoder,Language,Code generation,"Loubna Ben Allal, Raymond Li, Denis Kocetkov, Chenghao Mou, Christopher Akiki, Carlos Munoz Ferrandis, Niklas Muennighoff, Mayank Mishra, Alex Gu, Manan Dey, Logesh Kumar Umapathi, Carolyn Jane Anderson, Yangtian Zi, Joel Lamy Poirier, Hailey Schoelkopf, Sergey Troshin, Dmitry Abulkhanov, Manuel Romero, Michael Lappert, Francesco De Toni, Bernardo García del Río, Qian Liu, Shamik Bose, Urvashi Bhattacharyya, Terry Yue Zhuo, Ian Yu, Paulo Villegas, Marco Zocca, Sourab Mangrulkar, David Lansky, Huu Nguyen, Danish Contractor, Luis Villa, Jia Li, Dzmitry Bahdanau, Yacine Jernite, Sean Hughes, Daniel Fried, Arjun Guha, Harm de Vries, Leandro von Werra",,"""Our best model outperforms previous open-source multilingual code generation models (InCoder-6.7B and CodeGen-Multi-2.7B) in both left-to-right generation and infilling on the Java, JavaScript, and Python portions of MultiPL-E, despite being a substantially smaller model""",Permissive license,https://arxiv.org/abs/2301.03988,61.00,SantaCoder: don't reach for the stars!,2023-01-09,"Hugging Face,ServiceNow,Massachusetts Institute of Technology (MIT),Wellesley College,Saama,EleutherAI,Huawei Noah's Ark Lab,Carnegie Mellon University (CMU)",Industry - Academia Collaboration,1100000000.00,1.1B,2.1e+21,Each training run takes 3.1 days to complete on 96 Tesla V100 GPUs for a total of 1.05 × 10^21 FLOPs. The final model described in Section 6.2 uses twice the amount of compute.,The Stack v1.1,"""The base training dataset for the experiments in this paper contains 268 GB of Python,
Java and JavaScript files from The Stack v1.1 (Kocetkov et al., 2022) after removing data from optout requests, near-deduplication, PII-redaction (see Section 4)""",,268 GB,,,,150.0,"Their initial training runs took 3.1 days. The final training run was run for twice as many iterations with ""all other hyper-parameters the same"" and used twice as much compute as this. So likely 6 days or ~150 hours, but they don't explicitly say whether they used the same hardware.",NVIDIA V100,NVIDIA V100,,,,,Likely,"The BigCode project is an open-scientific collaboration working on the responsible development of large language models for code. This tech report describes the progress of the collaboration until December 2022, outlining the current state of the Personally Identifiable Information (PII) redaction pipeline, the experiments conducted to de-risk the model architecture, and the experiments investigating better preprocessing methods for the training data. We train 1.1B parameter models on the Java, JavaScript, and Python subsets of The Stack and evaluate them on the MultiPL-E text-to-code benchmark. We find that more aggressive filtering of near-duplicates can further boost performance and, surprisingly, that selecting files from repositories with 5+ GitHub stars deteriorates performance significantly. Our best model outperforms previous open-source multilingual code generation models (InCoder-6.7B and CodeGen-Multi-2.7B) in both left-to-right generation and infilling on the Java, JavaScript, and Python portions of MultiPL-E, despite being a substantially smaller model. All models are released under an OpenRAIL license at this https URL.",2023-12-05 04:33,Anonymous,,0,"Multinational,United States of America,United States of America,United States of America,United States of America,Multinational,China,United States of America","Hugging Face, ServiceNow, Massachusetts Institute of Technology (MIT), Wellesley College, Saama, EleutherAI, Huawei Noah's Ark Lab, Carnegie Mellon University (CMU)",,,,,,,
Ankh,Language,"Protein generation,Proteins","Ahmed Elnaggar, Hazem Essam, Wafaa Salah-Eldin, Walid Moustafa, Mohamed Elkerdawy, Charlotte Rochereau, Burkhard Rost",SOTA Improvement,"""On average, Ankh improved the PLM SOTA performance by 4.8%""",,https://www.biorxiv.org/content/10.1101/2023.01.16.524265v1,8.00,Ankh: Optimized Protein Language Model Unlocks General-Purpose Modelling,2023-01-18,"Technical University of Munich,Columbia University",Industry - Academia Collaboration (Industry leaning),1150000000.00,See figure 1,,,UniRef50,"""We build upon the same results by pre-training our baseline on UniRef50.""",,"45M proteins and 14B amino acids, per Table 2",68.00,,,,,Google TPU v4,Google TPU v4,,,,,Likely,"""As opposed to scaling-up protein language models (PLMs), we seek improving performance via protein-specific optimization. Although the proportionality between the language model size and the richness of its learned representations is validated, we prioritize accessibility and pursue a path of data-efficient, cost-reduced, and knowledge-guided optimization. Through over twenty experiments ranging from masking, architecture, and pre-training data, we derive insights from protein-specific experimentation into building a model that interprets the language of life, optimally. We present Ankh, the first general-purpose PLM trained on Google’s TPU-v4 surpassing the state-of-the-art performance with fewer parameters (<10% for pre-training, <7% for inference, and <30% for the embedding dimension). We provide a representative range of structure and function benchmarks where Ankh excels. We further provide a protein variant generation analysis on High-N and OneN input data scales where Ankh succeeds in learning protein evolutionary conservation-mutation trends and introducing functional diversity while retaining key structural-functional characteristics. We dedicate our work to promoting accessibility to research innovation via attainable resources.""",2023-11-26 03:25,Anonymous,,,"Germany,United States of America","Technical University of Munich, Columbia University",,,,Ankh,,,
GPT-2+Active-SGD,Language,,"Davood Wadi, Marc Fredette, Sylvain Senecal",,,,https://arxiv.org/abs/2301.10133,0.00,Read the Signs Towards Invariance to Gradient Descent’s Hyperparameter Initialization,2023-01-24,,,124000000.00,,310000000000000000.00,,,,,,200.00,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,GPT-2+Active-SGD,,,,,,,,,,
mini-GPT-2+Active-AdamW,Language,,,,,,,,,2023-01-24,,,,,,,,,,,200.00,,,,,,,,,,,Unverified,,2023-12-08 01:01,Robi Rahman,mini-GPT-2+Active-AdamW,1,,,,,,,,,
DDPM-IP (CelebA),Vision,Image generation,"Mang Ning, Enver Sangineto, Angelo Porrello, Simone Calderara, Rita Cucchiara",SOTA Improvement,"""For instance, on CelebA 64×64, we achieve a new state-of-theart FID score of 1.27, while saving 37.5% of the training time""",,https://arxiv.org/abs/2301.11706v3,14.00,Input Perturbation Reduces Exposure Bias in Diffusion Models,2023-01-27,Utrecht University,Academia,295000000.00,"295M for CelebA model, per Table 9",350000000000000000000.00,"""We use Pytorch 1.8 (Paszke et al., 2019) and trained all the models on different NVIDIA Tesla V100s (16G memory). In
more detail, we use 2 GPUs to train the models on CIFAR10 for 2 days, and 4 GPUs to train the models on ImageNet 32×32
for 34 days. For LSUN tower 64×64, CelebA 64×64 and FFHQ 128×128, we used 16 GPUs to train the models for 3 days,
5 days and 4 days, respectively""

5*16 V100-days for CelebA.

5 * 16 * 24 * 3600 * 125 teraflops * 0.4 ~= 3.5e20",CelebA,,203000,,681.00,,,120.0,5 days,NVIDIA V100,NVIDIA V100,,,,,Likely,"Denoising Diffusion Probabilistic Models have shown an impressive generation quality, although their long sampling chain leads to high computational costs. In this paper, we observe that a long sampling chain also leads to an error accumulation phenomenon, which is similar to the exposure bias problem in autoregressive text generation. Specifically, we note that there is a discrepancy between training and testing, since the former is conditioned on the ground truth samples, while the latter is conditioned on the previously generated results. To alleviate this problem, we propose a very simple but effective training regularization, consisting in perturbing the ground truth samples to simulate the inference time prediction errors. We empirically show that, without affecting the recall and precision, the proposed input perturbation leads to a significant improvement in the sample quality while reducing both the training and the inference times. For instance, on CelebA 64×64, we achieve a new state-of-the-art FID score of 1.27, while saving 37.5% of the training time. The code is publicly available at this https URL",2023-12-05 04:33,Anonymous,,,Netherlands,Utrecht University,,,,DDPM-IP (CelebA),,,
UniPi,Multimodal,Video generation,"Yilun Du, Mengjiao Yang, Bo Dai, Hanjun Dai, Ofir Nachum, Joshua B. Tenenbaum, Dale Schuurmans, Pieter Abbeel",,,,https://arxiv.org/abs/2302.00111,36.00,Learning Universal Policies via Text-Guided Video Generation,2023-01-31,"Google DeepMind,Massachusetts Institute of Technology (MIT),UC Berkeley,Georgia Institute of Technology,University of Alberta",Industry - Academia Collaboration,,"Appears to be a composite model, not sure about the total parameter count.",,"256 TPUv4s, no timeframe specified",,"""Our training data consists of an internet-scale pretraining dataset and a smaller real-world
robotic dataset. The pretraining dataset uses the same data as [19], which consists of 14 million
video-text pairs, 60 million image-text pairs, and the publicly available LAION-400M image-text
dataset. The robotic dataset is adopted from the Bridge dataset [29] with 7.2k video-text pairs, where
we use the task IDs as texts. We partition the 7.2k video-text pairs into train (80%) and test (20%)
splits. We pretrain UniPi on the pretraining dataset followed by finetuning on the train split of the
Bridge data. """,,,,,,,,Google TPU v4,Google TPU v4,,,,,Likely,"A goal of artificial intelligence is to construct an agent that can solve a wide variety of tasks. Recent progress in text-guided image synthesis has yielded models with an impressive ability to generate complex novel images, exhibiting combinatorial generalization across domains. Motivated by this success, we investigate whether such tools can be used to construct more general-purpose agents. Specifically, we cast the sequential decision making problem as a text-conditioned video generation problem, where, given a text-encoded specification of a desired goal, a planner synthesizes a set of future frames depicting its planned actions in the future, after which control actions are extracted from the generated video. By leveraging text as the underlying goal specification, we are able to naturally and combinatorially generalize to novel goals. The proposed policy-as-video formulation can further represent environments with different state and action spaces in a unified space of images, which, for example, enables learning and generalization across a variety of robot manipulation tasks. Finally, by leveraging pretrained language embeddings and widely available videos from the internet, the approach enables knowledge transfer through predicting highly realistic video plans for real robots.",2023-12-05 04:33,Anonymous,,0,"Multinational,United States of America,United States of America,United States of America,Canada","Google DeepMind, Massachusetts Institute of Technology (MIT), UC Berkeley, Georgia Institute of Technology, University of Alberta",,,,,,,
